winner,game_id,team,feudal_age_uptime,castle_age_uptime,imperial_age_uptime,old_rating,new_rating,match_rating_diff,replay_summary_raw,profile_id,civ,opening
True,364755730,1,,,,721,735,38.0,{},2716727,franks,
False,364773264,0,,,,990,975,-16.0,{},624077,britons,
True,364773264,1,,,,1006,1021,16.0,{},1861396,hindustanis,
True,364762482,0,,,,1126,1141,11.5,{},9908456,cumans,
False,364762482,1,,,,1105,1089,-11.5,{},2383482,persians,
True,364762482,0,,,,1125,1140,11.5,{},923208,saracens,
False,364762482,1,,,,1090,1075,-11.5,{},16744636,saracens,
True,364762482,0,,,,1110,1126,11.5,{},105350,lithuanians,
False,364762482,1,,,,1108,1092,-11.5,{},1717434,burgundians,
True,364762482,0,,,,1085,1102,11.5,{},1014019,hindustanis,
False,364762482,1,,,,1097,1054,-11.5,{},21607321,mongols,
False,364775154,0,,,,1506,1490,-1.0,{},994012,dravidians,
True,364775154,1,,,,1507,1523,1.0,{},3037610,aztecs,
False,364947222,0,,,,1029,1012,3.3333333333333712,{},20369625,mongols,
True,364947222,1,,,,1014,1030,-3.3333333333333712,{},14760239,portuguese,
False,364947222,0,,,,1027,1010,3.3333333333333712,{},9888472,malians,
True,364947222,1,,,,1005,1022,-3.3333333333333712,{},4412538,lithuanians,
False,364947222,0,,,,1001,986,3.3333333333333712,{},7810836,armenians,
True,364947222,1,,,,1028,1044,-3.3333333333333712,{},1760129,hindustanis,
False,364937444,0,,,,890,872,34.0,{},4560419,franks,
True,364937444,1,,,,856,897,-34.0,{},4750088,britons,
False,364766046,0,,,,1029,1013,-8.0,{},11262429,hindustanis,
True,364766046,1,,,,1037,1053,8.0,{},12395530,mongols,
False,364975759,0,,,,824,808,-25.66666666666663,{},11954946,ethiopians,
True,364975759,1,,,,792,808,25.66666666666663,{},21697271,mayans,
False,364975759,0,,,,707,696,-25.66666666666663,{},1783333,cumans,
True,364975759,1,,,,823,838,25.66666666666663,{},15501680,cumans,
False,364975759,0,,,,858,840,-25.66666666666663,{},3070516,khmer,
True,364975759,1,,,,851,864,25.66666666666663,{},21733043,vietnamese,
True,364813816,0,,,,1114,1128,4.6666666666667425,{},7598664,bohemians,
False,364813816,1,,,,1106,1089,-4.6666666666667425,{},5688003,franks,
True,364813816,0,,,,1046,1063,4.6666666666667425,{},14860360,turks,
False,364813816,1,,,,1017,1004,-4.6666666666667425,{},5266420,spanish,
