map,started_timestamp,duration,irl_duration,game_id,avg_elo,num_players,team_0_elo,team_1_elo,replay_enhanced,leaderboard,mirror,patch,raw_match_type,game_type,game_speed,starting_age,winner,team,feudal_age_uptime,castle_age_uptime,imperial_age_uptime,old_rating,new_rating,match_rating_diff,replay_summary_raw,profile_id,civ,opening
nomad,2025-01-12 20:16:26+00:00,0 days 00:24:57.700000,0 days 00:14:41,364939813,1318.625,8,1343.5,1293.75,False,team_random_map,False,125283,9,random_map,normal,dark,False,1,,,,1413,1394,-49.75,{},269262,malay,
nomad,2025-01-12 20:16:26+00:00,0 days 00:24:57.700000,0 days 00:14:41,364939813,1318.625,8,1343.5,1293.75,False,team_random_map,False,125283,9,random_map,normal,dark,True,0,,,,1199,1219,49.75,{},3455661,portuguese,
nomad,2025-01-12 20:16:26+00:00,0 days 00:24:57.700000,0 days 00:14:41,364939813,1318.625,8,1343.5,1293.75,False,team_random_map,False,125283,9,random_map,normal,dark,False,1,,,,1283,1270,-49.75,{},1112150,slavs,
nomad,2025-01-12 20:16:26+00:00,0 days 00:24:57.700000,0 days 00:14:41,364939813,1318.625,8,1343.5,1293.75,False,team_random_map,False,125283,9,random_map,normal,dark,True,0,,,,1364,1377,49.75,{},3522387,goths,
nomad,2025-01-12 20:16:26+00:00,0 days 00:24:57.700000,0 days 00:14:41,364939813,1318.625,8,1343.5,1293.75,False,team_random_map,False,125283,9,random_map,normal,dark,False,1,,,,1155,1147,-49.75,{},14282485,lithuanians,
gold_rush,2025-01-14 20:08:26+00:00,0 days 00:52:08,0 days 00:30:40,365348211,899.25,4,902.5,896.0,False,team_random_map,False,125283,7,random_map,normal,dark,True,0,,,,922,937,6.5,{},4372391,byzantines,
gold_rush,2025-01-14 20:08:26+00:00,0 days 00:52:08,0 days 00:30:40,365348211,899.25,4,902.5,896.0,False,team_random_map,False,125283,7,random_map,normal,dark,False,1,,,,885,870,-6.5,{},6583193,franks,
gold_rush,2025-01-14 20:08:26+00:00,0 days 00:52:08,0 days 00:30:40,365348211,899.25,4,902.5,896.0,False,team_random_map,False,125283,7,random_map,normal,dark,True,0,,,,883,900,6.5,{},4365872,poles,
gold_rush,2025-01-14 20:08:26+00:00,0 days 00:52:08,0 days 00:30:40,365348211,899.25,4,902.5,896.0,False,team_random_map,False,125283,7,random_map,normal,dark,False,1,,,,907,891,-6.5,{},8471603,portuguese,
megarandom,2025-01-12 17:47:25+00:00,0 days 00:41:23.700000,0 days 00:24:21,364901964,1256.5,2,1256.0,1257.0,False,random_map,False,125283,6,random_map,normal,dark,False,0,,,,1256,1240,-1.0,{},3965478,persians,
megarandom,2025-01-12 17:47:25+00:00,0 days 00:41:23.700000,0 days 00:24:21,364901964,1256.5,2,1256.0,1257.0,False,random_map,False,125283,6,random_map,normal,dark,True,1,,,,1257,1273,1.0,{},1986298,teutons,
hideout,2025-01-14 01:12:23+00:00,0 days 00:34:51,0 days 00:20:30,365200688,1504.0,8,1485.75,1522.25,False,team_random_map,False,125283,9,random_map,normal,dark,False,0,,,,1692,1669,-36.5,{},404410,saracens,
hideout,2025-01-14 01:12:23+00:00,0 days 00:34:51,0 days 00:20:30,365200688,1504.0,8,1485.75,1522.25,False,team_random_map,False,125283,9,random_map,normal,dark,True,1,,,,1538,1552,36.5,{},5789718,khmer,
hideout,2025-01-14 01:12:23+00:00,0 days 00:34:51,0 days 00:20:30,365200688,1504.0,8,1485.75,1522.25,False,team_random_map,False,125283,9,random_map,normal,dark,False,0,,,,1437,1425,-36.5,{},2122850,khmer,
hideout,2025-01-14 01:12:23+00:00,0 days 00:34:51,0 days 00:20:30,365200688,1504.0,8,1485.75,1522.25,False,team_random_map,False,125283,9,random_map,normal,dark,True,1,,,,1562,1575,36.5,{},11618367,portuguese,
hideout,2025-01-14 01:12:23+00:00,0 days 00:34:51,0 days 00:20:30,365200688,1504.0,8,1485.75,1522.25,False,team_random_map,False,125283,9,random_map,normal,dark,False,0,,,,1323,1315,-36.5,{},1885683,goths,
hideout,2025-01-14 01:12:23+00:00,0 days 00:34:51,0 days 00:20:30,365200688,1504.0,8,1485.75,1522.25,False,team_random_map,False,125283,9,random_map,normal,dark,True,1,,,,1513,1528,36.5,{},19443025,saracens,
hideout,2025-01-14 01:12:23+00:00,0 days 00:34:51,0 days 00:20:30,365200688,1504.0,8,1485.75,1522.25,False,team_random_map,False,125283,9,random_map,normal,dark,False,0,,,,1491,1476,-36.5,{},10275220,britons,
hideout,2025-01-14 01:12:23+00:00,0 days 00:34:51,0 days 00:20:30,365200688,1504.0,8,1485.75,1522.25,False,team_random_map,False,125283,9,random_map,normal,dark,True,1,,,,1476,1492,36.5,{},17614518,cumans,
arena,2025-01-18 11:50:02+00:00,0 days 00:55:50.700000,0 days 00:32:51,366098329,1177.5,2,1180.0,1175.0,False,random_map,False,125283,6,random_map,normal,dark,False,0,,,,1180,1164,5.0,{},384815,gurjaras,
arena,2025-01-18 11:50:02+00:00,0 days 00:55:50.700000,0 days 00:32:51,366098329,1177.5,2,1180.0,1175.0,False,random_map,False,125283,6,random_map,normal,dark,True,1,,,,1175,1191,-5.0,{},2592330,franks,
hideout,2025-01-18 02:14:02+00:00,0 days 00:12:09.300000,0 days 00:07:09,366021312,1200.5,2,1187.0,1214.0,False,random_map,False,125283,6,random_map,normal,dark,True,0,,,,1187,1204,-27.0,{},14129669,turks,
hideout,2025-01-18 02:14:02+00:00,0 days 00:12:09.300000,0 days 00:07:09,366021312,1200.5,2,1187.0,1214.0,False,random_map,False,125283,6,random_map,normal,dark,False,1,,,,1214,1197,27.0,{},2124438,sicilians,
lowland,2025-01-18 19:15:20+00:00,0 days 00:50:09,0 days 00:29:30,366191523,1018.0,2,1013.0,1023.0,False,random_map,False,125283,6,random_map,normal,dark,False,0,,,,1013,997,-10.0,{},4150554,teutons,
lowland,2025-01-18 19:15:20+00:00,0 days 00:50:09,0 days 00:29:30,366191523,1018.0,2,1013.0,1023.0,False,random_map,False,125283,6,random_map,normal,dark,True,1,,,,1023,1039,10.0,{},6835836,mayans,
