map,started_timestamp,duration,irl_duration,game_id,avg_elo,num_players,team_0_elo,team_1_elo,replay_enhanced,leaderboard,mirror,patch,raw_match_type,game_type,game_speed,starting_age
arabia,2025-01-18 05:33:23+00:00,0 days 00:50:26,0 days 00:29:40,366053456,1409.0,2,1401.0,1417.0,False,random_map,False,125283,6,random_map,normal,dark
african_clearing,2025-01-13 17:39:21+00:00,0 days 00:36:26.200000,0 days 00:21:26,365117917,1660.0,2,1632.0,1688.0,False,random_map,False,125283,6,random_map,normal,dark
arabia,2025-01-17 18:26:17+00:00,0 days 00:52:43.700000,0 days 00:31:01,365928391,1762.0,2,1745.0,1779.0,False,random_map,False,125283,6,random_map,normal,dark
acropolis,2025-01-17 20:14:09+00:00,0 days 00:41:50.900000,0 days 00:24:37,365950902,1136.5,2,1133.0,1140.0,False,random_map,False,125283,6,random_map,normal,dark
arabia,2025-01-13 02:10:13+00:00,0 days 00:22:38.300000,0 days 00:13:19,365009102,487.5,2,470.0,505.0,False,random_map,False,125283,6,random_map,normal,dark
african_clearing,2025-01-18 01:01:58+00:00,0 days 00:52:48.800000,0 days 00:31:04,366009594,1131.0,2,1158.0,1104.0,False,random_map,False,125283,6,random_map,normal,dark
gold_rush,2025-01-16 19:04:59+00:00,0 days 00:21:09.900000,0 days 00:12:27,365727742,1385.0,4,1435.0,1335.0,False,team_random_map,False,125283,7,random_map,normal,dark
arabia,2025-01-14 03:25:11+00:00,0 days 00:44:01.800000,0 days 00:25:54,365220305,1508.5,2,1451.0,1566.0,False,random_map,False,125283,6,random_map,normal,dark
megarandom,2025-01-16 21:22:58+00:00,0 days 00:55:13.300000,0 days 00:32:29,365757022,854.5,2,844.0,865.0,False,random_map,False,125283,6,random_map,normal,dark
lowland,2025-01-15 22:38:34+00:00,0 days 00:47:59.800000,0 days 00:28:14,365574881,1039.0,2,1053.0,1025.0,False,random_map,False,125283,6,random_map,normal,dark
lombardia,2025-01-16 23:14:08+00:00,0 days 00:12:24.600000,0 days 00:07:18,365776252,1005.75,8,1005.25,1006.25,False,team_random_map,False,125283,9,random_map,normal,dark
black_forest,2025-01-15 10:17:28+00:00,0 days 00:42:19.800000,0 days 00:24:54,365456167,946.5,4,955.5,937.5,False,team_random_map,False,125283,7,random_map,normal,dark
